table_name         column_name   pkey 
workroll           wropid        Y    
worktictrl         wtcode        Y    
worktime           wtcode        Y    
ztmp_cs1           ztst1         Y    
ztmp_cs2           ztit          Y    
ztmp_cs3           ztad          Y    
ztmp_cs3           ztit          Y    
ztmp_cs4           zcit          Y    

(461 lignes)
Remarque : certaines valeurs ont été tronquées pour des questions d'affichage.

